,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
0,CH Morris,4.60416,3.74057,8.34473
1,MF Maharoof,4.02916,4.26415,8.29331
2,Rashid Khan,4.14583,4.12265,8.26848
3,Mohammad Nabi,4.12916,3.77831,7.90747
4,KK Cooper,3.88334,3.9953,7.87864
5,SP Narine,3.53749,4.33491,7.8724
6,AJ Tye,3.69167,4.08491,7.77658
7,A Ashish Reddy,4.125,3.51887,7.64387
8,M Morkel,4.04165,3.58491,7.62656
9,Washington Sundar,4.38332,3.2217,7.60502
10,J Archer,3.93334,3.61793,7.55127
11,M Ali,4.10417,3.26415,7.36832
12,KH Pandya,4.06667,3.28303,7.3497
13,JA Morkel,3.99583,3.31604,7.31187
14,HV Patel,4.24999,3.04246,7.29245
15,Bipul Sharma,4.55833,2.65094,7.20927
16,R Tewatia,3.63334,3.55661,7.18995
17,BJ Hodge,2.83333,4.32077,7.1541
18,Harbhajan Singh,3.37084,3.77358,7.14442
19,Ankit Sharma,4.19582,2.77831,6.97413
20,AD Russell,3.79582,3.16038,6.9562
21,HH Pandya,4.35417,2.59906,6.95323
22,N Rana,2.83334,4.08019,6.91353
23,JP Faulkner,3.62917,3.23586,6.86503
24,DJ Bravo,3.15416,3.62264,6.7768
25,S Gopal,2.38749,4.31604,6.70353
26,YK Pathan,3.76667,2.87737,6.64404
27,KA Pollard,3.71667,2.84905,6.56572
28,MJ McClenaghan,2.99999,3.55189,6.55188
29,WPUJC Vaas,2.38751,4.09434,6.48185
30,RN ten Doeschate,3.84582,2.62736,6.47318
31,K Gowtham,4.40834,2.03774,6.44608
32,KP Pietersen,3.31667,3.11322,6.42989
33,AD Mascarenhas,1.69585,4.67925,6.3751
34,RJ Harris,2.30834,4.06133,6.36967
35,P Negi,2.84999,3.47642,6.32641
36,SR Watson,3.11251,3.1651,6.27761
37,Shakib Al Hasan,2.82083,3.4434,6.26423
38,Azhar Mahmood,2.42918,3.80661,6.23579
39,RG Sharma,2.88333,3.32076,6.20409
40,RA Jadeja,2.7875,3.38207,6.16957
41,CR Brathwaite,3.25832,2.90566,6.16398
42,MR Marsh,1.84583,4.31132,6.15715
43,AR Patel,2.97915,3.15094,6.13009
44,B Akhil,3.64999,2.4434,6.09339
45,BCJ Cutting,4.14167,1.9434,6.08507
46,R Bhatia,2.66251,3.37736,6.03987
47,STR Binny,3.20833,2.80661,6.01494
48,NM Coulter-Nile,1.58334,4.34435,5.92769
49,KV Sharma,2.2875,3.63207,5.91957
50,MP Stoinis,3.54166,2.37264,5.9143
51,SK Raina,3.34584,2.51887,5.86471
52,Yuvraj Singh,2.50416,3.34435,5.84851
53,MC Henriques,3.16251,2.67926,5.84177
54,SL Malinga,1.24168,4.59906,5.84074
55,NLTC Perera,3.20001,2.59906,5.79907
56,JP Duminy,2.90833,2.8868,5.79513
57,GJ Maxwell,3.50833,2.26887,5.7772
58,B Kumar,1.62917,4.14151,5.77068
59,A Symonds,3.0,2.73113,5.73113
60,BA Stokes,3.11251,2.61321,5.72572
61,RE van der Merwe,1.7875,3.93397,5.72147
62,DW Steyn,1.90833,3.81132,5.71965
